RK,TEAM,GP,AB,R,H,2B,3B,HR,TB,RBI,AVG,OBP,SLG,OPS
1,CLE,140,1926,280,520,106,7,71,853,267,0.27,0.351,0.443,0.794
2,COL,129,1554,241,436,89,10,62,731,232,0.281,0.344,0.47,0.814
3,LAD,133,1571,227,398,97,6,65,702,222,0.253,0.342,0.447,0.789
4,MIN,132,1602,224,416,87,8,47,660,218,0.26,0.332,0.412,0.744
5,HOU,117,1426,212,396,80,6,59,665,200,0.278,0.348,0.466,0.814
6,ARI,130,1486,202,361,77,8,58,628,193,0.243,0.317,0.423,0.739
7,CWS,122,1457,200,408,71,13,45,640,192,0.28,0.333,0.439,0.773
8,CHI,133,1381,200,364,56,9,51,591,191,0.264,0.349,0.428,0.777
9,NYY,128,1448,198,370,64,7,56,616,187,0.256,0.332,0.425,0.757
10,DET,98,1213,187,341,69,8,57,597,182,0.281,0.345,0.492,0.837
11,TB,129,1547,187,369,56,13,49,598,181,0.239,0.316,0.387,0.702
12,TEX,130,1334,184,331,61,5,49,549,176,0.248,0.327,0.412,0.738
13,PHI,132,1563,184,364,77,12,48,609,174,0.233,0.303,0.39,0.693
14,BAL,113,1483,182,392,78,3,59,653,179,0.264,0.312,0.44,0.753
15,SEA,118,1378,180,336,54,6,48,546,171,0.244,0.32,0.396,0.716
16,CIN,134,1449,179,358,74,6,54,606,173,0.247,0.318,0.418,0.736
17,SF,137,1658,179,418,87,4,33,612,175,0.252,0.312,0.369,0.681
18,MIA,129,1373,177,363,65,9,34,548,168,0.264,0.328,0.399,0.728
19,NYM,126,1415,176,350,72,7,58,610,172,0.247,0.311,0.431,0.742
20,KC,126,1413,175,360,65,7,49,586,166,0.255,0.311,0.415,0.725
21,MIL,118,1306,173,324,79,8,40,539,157,0.248,0.321,0.413,0.734
22,WAS,115,1227,169,338,70,8,45,559,165,0.275,0.331,0.456,0.787
23,BOS,122,1234,168,329,71,4,31,501,158,0.267,0.353,0.406,0.759
24,PIT,115,1290,166,315,54,9,39,504,161,0.244,0.319,0.391,0.71
25,ATL,124,1204,165,323,55,3,44,516,155,0.268,0.34,0.429,0.769
26,OAK,130,1355,161,319,71,4,44,530,152,0.235,0.313,0.391,0.704
27,STL,116,1179,160,298,56,8,50,520,153,0.253,0.336,0.441,0.777
28,SD,117,1444,150,327,60,6,52,555,146,0.226,0.294,0.384,0.679
29,LAA,118,1375,149,317,54,5,30,471,139,0.231,0.306,0.343,0.649
30,TOR,118,1256,143,307,71,0,45,513,137,0.244,0.324,0.408,0.733
