RK,TEAM,GP,AB,R,H,2B,3B,HR,TB,RBI,AVG,OBP,SLG,OPS
1,HOU,162,4185,684,1185,266,14,179,2016,654,0.283,0.345,0.482,0.827
2,NYY,162,4146,660,1093,202,16,185,1882,634,0.264,0.341,0.454,0.795
3,WAS,162,4326,650,1139,241,23,170,1936,631,0.263,0.332,0.448,0.78
4,CHI,161,4115,622,1038,218,20,172,1812,594,0.252,0.334,0.44,0.774
5,BOS,162,4435,617,1132,231,15,137,1804,577,0.255,0.323,0.407,0.729
6,TEX,162,4096,615,995,194,16,188,1785,580,0.243,0.318,0.436,0.754
7,ARI,160,4039,610,1044,237,31,162,1829,583,0.258,0.334,0.453,0.787
8,STL,161,4291,601,1104,228,20,146,1810,575,0.257,0.333,0.422,0.755
9,MIA,160,4229,601,1134,206,22,160,1864,575,0.268,0.332,0.441,0.772
10,MIN,161,3955,591,1028,199,23,159,1750,563,0.26,0.335,0.442,0.777
11,COL,161,3980,583,1074,204,28,130,1724,561,0.27,0.335,0.433,0.768
12,OAK,162,4109,578,1025,234,11,190,1851,556,0.249,0.321,0.45,0.772
13,CIN,162,4035,574,1032,175,32,165,1766,542,0.256,0.333,0.438,0.77
14,SEA,161,4173,570,1100,227,11,152,1805,543,0.264,0.327,0.433,0.76
15,ATL,161,4380,567,1144,234,23,121,1787,551,0.261,0.322,0.408,0.73
16,BAL,162,4167,561,1077,191,9,173,1805,534,0.258,0.312,0.433,0.745
17,LAA,162,4040,561,997,197,9,156,1680,539,0.247,0.318,0.416,0.734
18,MIL,161,4161,559,1039,188,14,184,1807,538,0.25,0.323,0.434,0.757
19,NYM,161,4095,559,1029,214,21,166,1783,541,0.251,0.324,0.435,0.759
20,TOR,161,4243,550,1013,198,5,177,1752,524,0.239,0.309,0.413,0.721
21,DET,162,4343,548,1094,220,27,130,1758,517,0.252,0.319,0.405,0.723
22,LAD,160,3837,543,949,215,14,156,1660,508,0.247,0.331,0.433,0.764
23,CLE,157,3585,538,929,227,22,141,1623,513,0.259,0.332,0.453,0.785
24,KC,160,4123,527,1076,195,17,144,1737,494,0.261,0.312,0.421,0.733
25,TP,161,3931,507,971,170,19,179,1716,490,0.247,0.317,0.437,0.754
26,CWS,160,4056,506,1004,185,24,141,1660,478,0.248,0.307,0.409,0.716
27,PHL,158,3972,506,1018,210,24,126,1654,480,0.256,0.319,0.416,0.736
28,PIT,159,4168,502,1016,195,27,112,1601,474,0.244,0.318,0.384,0.702
29,SF,160,3893,460,964,203,24,95,1500,437,0.248,0.307,0.385,0.693
30,SD,161,3912,454,924,167,25,137,1552,430,0.236,0.301,0.397,0.697
