TEAM,AVG,H,R,RunRatio
ARI,0.258,1044,610,1.71
ATL,0.261,1144,567,2.02
BAL,0.258,1077,561,1.92
BOS,0.255,1132,617,1.83
CHI,0.252,1038,622,1.67
CIN,0.256,1032,574,1.8
CLE,0.259,929,538,1.73
COL,0.27,1074,583,1.84
CWS,0.248,1004,506,1.98
DET,0.252,1094,548,2.0
HOU,0.283,1185,684,1.73
KC,0.261,1076,527,2.04
LAA,0.247,997,561,1.78
LAD,0.247,949,543,1.75
MIA,0.268,1134,601,1.89
MIL,0.25,1039,559,1.86
MIN,0.26,1028,591,1.74
NYM,0.251,1029,559,1.84
NYY,0.264,1093,660,1.66
OAK,0.249,1025,578,1.77
PHI,0.256,1018,506,2.01
PIT,0.244,1016,502,2.02
SD,0.236,924,454,2.04
SEA,0.264,1100,570,1.93
SF,0.248,964,460,2.1
STL,0.257,1104,601,1.84
TB,0.247,971,507,1.92
TEX,0.243,995,615,1.62
TOR,0.239,1013,550,1.84
WAS,0.263,1139,650,1.75
